state_key,action,value
.........,0,0.000000
.........,1,0.000000
.........,2,0.000000
.........,3,0.000000
.........,4,0.000000
.........,5,0.000000
.........,6,0.000000
.........,7,0.000000
.........,8,0.000000
........O,0,-1.000000
........O,1,-1.000000
........O,2,-1.000000
........O,3,-1.000000
........O,4,-0.000000
........O,5,-1.000000
........O,6,-1.000000
........O,7,-1.000000
.......O.,0,-1.000000
.......O.,1,-0.000000
.......O.,2,-1.000000
.......O.,3,-1.000000
.......O.,4,-0.000000
.......O.,5,-1.000000
.......O.,6,-0.000000
.......O.,8,-0.000000
.......OX,0,0.000000
.......OX,1,0.000000
.......OX,2,1.000000
.......OX,3,0.000000
.......OX,4,1.000000
.......OX,5,1.000000
.......OX,6,0.000000
.......XO,0,0.000000
.......XO,1,-1.000000
.......XO,2,0.000000
.......XO,3,-1.000000
.......XO,4,0.000000
.......XO,5,0.000000
.......XO,6,-1.000000
......O..,0,-1.000000
......O..,1,-1.000000
......O..,2,-1.000000
......O..,3,-1.000000
......O..,4,-0.000000
......O..,5,-1.000000
......O..,7,-1.000000
......O..,8,-1.000000
......O.X,0,1.000000
......O.X,1,0.000000
......O.X,2,1.000000
......O.X,3,0.000000
......O.X,4,0.000000
......O.X,5,1.000000
......O.X,7,-1.000000
......OOX,0,-1.000000
......OOX,1,-0.000000
......OOX,2,1.000000
......OOX,3,-1.000000
......OOX,4,-0.000000
......OOX,5,1.000000
......OX.,0,0.000000
......OX.,1,-1.000000
......OX.,2,0.000000
......OX.,3,0.000000
......OX.,4,0.000000
......OX.,5,-1.000000
......OX.,8,-1.000000
......OXO,0,-1.000000
......OXO,1,-1.000000
......OXO,2,-1.000000
......OXO,3,-1.000000
......OXO,4,-0.000000
......OXO,5,-1.000000
......X.O,0,1.000000
......X.O,1,0.000000
......X.O,2,1.000000
......X.O,3,1.000000
......X.O,4,0.000000
......X.O,5,0.000000
......X.O,7,-1.000000
......XO.,0,1.000000
......XO.,1,0.000000
......XO.,2,0.000000
......XO.,3,1.000000
......XO.,4,1.000000
......XO.,5,0.000000
......XO.,8,0.000000
......XOO,0,1.000000
......XOO,1,-0.000000
......XOO,2,-1.000000
......XOO,3,1.000000
......XOO,4,-0.000000
......XOO,5,-1.000000
.....O...,0,-1.000000
.....O...,1,-1.000000
.....O...,2,-0.000000
.....O...,3,-0.000000
.....O...,4,-0.000000
.....O...,6,-1.000000
.....O...,7,-1.000000
.....O...,8,-0.000000
.....O..X,0,0.000000
.....O..X,1,0.000000
.....O..X,2,0.000000
.....O..X,3,0.000000
.....O..X,4,1.000000
.....O..X,6,1.000000
.....O..X,7,1.000000
.....O.OX,0,-1.000000
.....O.OX,1,-0.000000
.....O.OX,2,-1.000000
.....O.OX,3,-0.000000
.....O.OX,4,-0.000000
.....O.OX,6,-1.000000
.....O.X.,0,0.000000
.....O.X.,1,-1.000000
.....O.X.,2,0.000000
.....O.X.,3,0.000000
.....O.X.,4,1.000000
.....O.X.,6,-1.000000
.....O.X.,8,1.000000
